ID registro,datasetKey_global_unique_identifier,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,decimalLatitude,decimalLongitude,eventDate,Mes,Fecha,basisOfRecord,Leyenda,institutionCode,collectionCode,catalogNumber,recordNumber,rightsHolder,recordedBy
2243570072,b1047888-ae52-4179-9dd5-5448ea342a24,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona kawalli,,SPECIES,"Amazona kawalli Grantsau & Camargo, 1989",Amazona kawalli,,BR,"Cristalino Jungle Lodge, MT",,-9.5981,-55.932,2011-09-18T00:00:00,septiembre,18/09/11,HUMAN_OBSERVATION,Espécimen multimedia,xeno-canto,Bird sounds,XC129791,,Eric DeFonso,Eric DeFonso
2243555064,b1047888-ae52-4179-9dd5-5448ea342a24,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona kawalli,,SPECIES,"Amazona kawalli Grantsau & Camargo, 1989",Amazona kawalli,,BR,"Cristalino Jungle Lodge, MT",,-9.5981,-55.932,2011-09-10T00:00:00,septiembre,10/09/11,HUMAN_OBSERVATION,Espécimen multimedia,xeno-canto,Bird sounds,XC108680,,Tayler Brooks,Tayler Brooks
1313872791,72116eb4-ca86-48a6-a280-232a3eebcb1d,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona kawalli,,SPECIES,"Amazona kawalli Grantsau & Camargo, 1989",Amazona kawalli,,BR,,Pará,,,2014-05-21T00:00:00,mayo,21/05/14,PRESERVED_SPECIMEN,Espécimen físico o tejido,MPEG,OPE,MPEG.OPE 0078419,,Museu Paraense Emilio Goeldi (MPEG),"Faccio,  M.; Soares,  L. M."
1313869647,72116eb4-ca86-48a6-a280-232a3eebcb1d,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona kawalli,,SPECIES,"Amazona kawalli Grantsau & Camargo, 1989",Amazona kawalli,,BR,,Pará,,,2012-10-07T00:00:00,octubre,7/10/12,PRESERVED_SPECIMEN,Espécimen físico o tejido,MPEG,OPE,MPEG.OPE 0075605,,Museu Paraense Emilio Goeldi (MPEG),"Thom,  G.; Batista,  R.; Monte,  A.; Brígida,  J.N."
1313869634,72116eb4-ca86-48a6-a280-232a3eebcb1d,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona kawalli,,SPECIES,"Amazona kawalli Grantsau & Camargo, 1989",Amazona kawalli,,BR,,Pará,,,2012-10-07T00:00:00,octubre,7/10/12,PRESERVED_SPECIMEN,Espécimen físico o tejido,MPEG,OPE,MPEG.OPE 0075604,,Museu Paraense Emilio Goeldi (MPEG),"Thom,  G.; Batista,  R.; Monte,  A.; Brígida,  J.N."
1313869614,72116eb4-ca86-48a6-a280-232a3eebcb1d,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona kawalli,,SPECIES,"Amazona kawalli Grantsau & Camargo, 1989",Amazona kawalli,,BR,,Pará,,,2012-10-07T00:00:00,octubre,7/10/12,PRESERVED_SPECIMEN,Espécimen físico o tejido,MPEG,OPE,MPEG.OPE 0075603,,Museu Paraense Emilio Goeldi (MPEG),"Thom,  G.; Batista,  R.; Monte,  A.; Brígida,  J.N."
1313862983,72116eb4-ca86-48a6-a280-232a3eebcb1d,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona kawalli,,SPECIES,"Amazona kawalli Grantsau & Camargo, 1989",Amazona kawalli,,BR,,Pará,,,2008-04-29T00:00:00,abril,29/04/08,PRESERVED_SPECIMEN,Espécimen físico o tejido,MPEG,OPE,MPEG.OPE 0065186,,Museu Paraense Emilio Goeldi (MPEG),"Maia, Dr.; Morelli"
1313860284,72116eb4-ca86-48a6-a280-232a3eebcb1d,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona kawalli,,SPECIES,"Amazona kawalli Grantsau & Camargo, 1989",Amazona kawalli,,BR,,Amazonas,,,2007-07-31T00:00:00,julio,31/07/07,PRESERVED_SPECIMEN,Espécimen físico o tejido,MPEG,OPE,MPEG.OPE 0062416,,Museu Paraense Emilio Goeldi (MPEG),"Ramos, Cláudio; Maia, Dr.; , M.Luiz; , Alex"
1313860260,72116eb4-ca86-48a6-a280-232a3eebcb1d,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona kawalli,,SPECIES,"Amazona kawalli Grantsau & Camargo, 1989",Amazona kawalli,,BR,,Amazonas,,,2007-07-31T00:00:00,julio,31/07/07,PRESERVED_SPECIMEN,Espécimen físico o tejido,MPEG,OPE,MPEG.OPE 0062417,,Museu Paraense Emilio Goeldi (MPEG),"Ramos, Cláudio; Maia, Dr.; , M.Luiz; , Alex"
1313859634,72116eb4-ca86-48a6-a280-232a3eebcb1d,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona kawalli,,SPECIES,"Amazona kawalli Grantsau & Camargo, 1989",Amazona kawalli,,BR,,Pará,,,1999-06-12T00:00:00,junio,12/06/99,PRESERVED_SPECIMEN,Espécimen físico o tejido,MPEG,OPE,MPEG.OPE 0054782,,Museu Paraense Emilio Goeldi (MPEG),"Ramos, Cláudio"
