GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING BIRD ATLAS CODE	BREEDING BIRD ATLAS CATEGORY	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS894419812	2020-05-23 10:36:34	12309	species	Kawall's Parrot	Amazona kawalli			1				Brazil	BR	Mato Grosso	BR-MT							Rio Cristalino--general area and historical lists	L875406	H	-9.5972613	-55.9311079	2015-10-31	07:00:00	obsr623287	S67141089	Traveling	P22	EBIRD	480	10.000		6	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS350789961	2015-10-31 12:58:34	12309	species	Kawall's Parrot	Amazona kawalli			2				Brazil	BR	Mato Grosso	BR-MT							Cristalino Lodge -- Cacau Trail	L3657126	H	-9.5907505	-55.9223667	2015-10-31	06:38:00	obsr348753	S25641611	Traveling	P22	EBIRD	235	2.736		4	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS345801083	2018-08-22 10:52:52	12309	species	Kawall's Parrot	Amazona kawalli			2				Brazil	BR	Mato Grosso	BR-MT							Cristalino Lodge--Torre 2 and trail	L2326048	H	-9.6007896	-55.9228429	2015-10-03	06:05:00	obsr348753	S25276159	Traveling	P22	EBIRD	180	2.092		4	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS376370711	2018-08-22 10:52:54	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Mato Grosso	BR-MT							Rio Cristalino--general area and historical lists	L875406	H	-9.5972613	-55.9311079	2015-10-21		obsr59106	S27767125	Incidental	P20	EBIRD				1	1		0	1	0		am Tower 2 and Francisco's. pm Boat and Brazil.		
URN:CornellLabOfOrnithology:EBIRD:OBS345663683	2018-04-15 21:19:47	12309	species	Kawall's Parrot	Amazona kawalli			1				Brazil	BR	Mato Grosso	BR-MT							Cristalino Lodge--Torre 1	L2319134	H	-9.5987073	-55.9367341	2015-10-02	06:55:00	obsr348753	S25265304	Traveling	P22	EBIRD	305	1.770		6	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS376371096	2018-08-07 11:39:13	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Mato Grosso	BR-MT							Rio Cristalino--general area and historical lists	L875406	H	-9.5972613	-55.9311079	2015-10-18		obsr59106	S27767129	Incidental	P20	EBIRD				1	1		0	1	0		am Serra 2 trail. pm Pocinho (Magic Pon).	A small flock pased over.	
URN:CornellLabOfOrnithology:EBIRD:OBS350688345	2018-04-15 21:20:14	12309	species	Kawall's Parrot	Amazona kawalli			2				Brazil	BR	Mato Grosso	BR-MT							Cristalino Lodge--Serra Trail	L2781581	H	-9.5856519	-55.9198437	2015-10-30	06:37:00	obsr348753	S25633896	Traveling	P22	EBIRD	250	3.541		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS351566767	2018-04-15 21:19:47	12309	species	Kawall's Parrot	Amazona kawalli			2				Brazil	BR	Mato Grosso	BR-MT							Cristalino Lodge--Torre 1	L2319134	H	-9.5987073	-55.9367341	2015-11-03	07:12:00	obsr348753	S25698508	Stationary	P21	EBIRD	125			2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS352017682	2018-04-15 21:19:47	12309	species	Kawall's Parrot	Amazona kawalli			2				Brazil	BR	Mato Grosso	BR-MT							Cristalino Lodge--Torre 1	L2319134	H	-9.5987073	-55.9367341	2015-11-07	07:45:00	obsr348753	S25732474	Traveling	P22	EBIRD	150	0.805		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS400250226	2019-12-16 18:46:54	12309	species	Kawall's Parrot	Amazona kawalli			2				Brazil	BR	Mato Grosso	BR-MT							Cristalino Lodge--Torre 1	L2319134	H	-9.5987073	-55.9367341	2016-05-09	06:00:00	obsr229232	S29515622	Stationary	P21	EBIRD	240			6	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS840289550	2020-09-23 10:51:49	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Mato Grosso	BR-MT							Lucas do Rio Verde -- Parque dos Buritis	L4453000	H	-13.0721402	-55.9193373	2016-06-27		obsr61384	S62481207	Historical	P62	EBIRD				2	1		0	1	0		Cristalino Jungle Lodge With guide Micah Riegner		
URN:CornellLabOfOrnithology:EBIRD:OBS871629072	2021-01-09 07:33:07.329856	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Mato Grosso	BR-MT							Rio Cristalino--general area and historical lists	L875406	H	-9.5972613	-55.9311079	2016-06-28		obsr824243	S65243124	Historical	P62	EBIRD				6	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS416219478	2016-08-18 10:15:41	12309	species	Kawall's Parrot	Amazona kawalli			2				Brazil	BR	Mato Grosso	BR-MT							Rio Cristalino--general area and historical lists	L875406	H	-9.5972613	-55.9311079	2016-06-15	05:30:00	obsr445491	S30552324	Traveling	P22	EBIRD	600	12.875		10	1		0	1	0		Day 4 of Field Guides trip. Chip Haven Tower; Salt Lick Loop.  PM 1500 - 1700 Boat trip up Cristalino River		
URN:CornellLabOfOrnithology:EBIRD:OBS414650677	2018-04-15 21:19:47	12309	species	Kawall's Parrot	Amazona kawalli			5				Brazil	BR	Mato Grosso	BR-MT							Cristalino Lodge--Torre 1	L2319134	H	-9.5987073	-55.9367341	2016-06-28	05:55:00	obsr412230	S30431195	Stationary	P21	EBIRD	233			6	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS413450297	2018-04-15 21:19:47	12309	species	Kawall's Parrot	Amazona kawalli			2				Brazil	BR	Mato Grosso	BR-MT							Cristalino Lodge--Torre 1	L2319134	H	-9.5987073	-55.9367341	2016-06-21	05:45:00	obsr412230	S30338039	Stationary	P21	EBIRD	52			2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS416358098	2016-07-06 15:58:24	12309	species	Kawall's Parrot	Amazona kawalli			2				Brazil	BR	Mato Grosso	BR-MT							Rio Cristalino--general area and historical lists	L875406	H	-9.5972613	-55.9311079	2016-06-17	05:20:00	obsr445491	S30568052	Traveling	P22	EBIRD	600	4.828		11	1		0	1	0		Day 6 of Field Guides trip.  Early AM to Ted Parker Tower.  PM to Brazil Nut Trail.		
